"pointspread" "score1" "score2" "scorediff" "loc"
-6.5 67 49 -18 "H"
1.5 60 77 17 "V"
-8.5 63 60 -3 "H"
2.5 81 61 -20 "V"
3.5 64 61 -3 "V"
-13 68 62 -6 "H"
-9.5 62 60 -2 "H"
-3 64 41 -23 "N"
2 53 55 2 "N"
6.5 43 85 42 "V"
16 68 81 13 "V"
8.5 77 80 3 "V"
-8 112 69 -43 "N"
2.5 93 82 -11 "N"
-4.5 75 79 4 "V"
9 72 74 2 "V"
-15.5 66 53 -13 "H"
-8 86 79 -7 "H"
2.5 88 90 2 "V"
3.5 105 86 -19 "V"
-14.5 71 69 -2 "H"
-4 65 92 27 "H"
-2 71 81 10 "H"
2 95 88 -7 "V"
7 67 71 4 "V"
-7.5 86 92 6 "H"
-6.5 75 77 2 "H"
-4.5 79 67 -12 "V"
6 65 85 20 "V"
5 66 86 20 "V"
-1.5 77 60 -17 "H"
-7 63 57 -6 "V"
1 55 64 9 "H"
-2.5 68 71 3 "H"
5.5 50 66 16 "V"
9.5 60 62 2 "V"
7.5 66 75 9 "N"
-3.5 81 75 -6 "H"
-4 96 79 -17 "H"
7 74 71 -3 "V"
-3 68 64 -4 "N"
3 92 76 -16 "N"
-9.5 69 58 -11 "N"
14.5 75 87 12 "V"
14.5 56 82 26 "V"
8 76 87 11 "V"
7 76 71 -5 "V"
4.5 71 74 3 "V"
-13 64 65 1 "H"
-3.5 86 105 19 "H"
7.5 69 78 9 "V"
6.5 69 79 10 "V"
-6 71 74 3 "H"
1 62 74 12 "H"
2 75 69 -6 "V"
6.5 64 75 11 "V"
7.5 92 86 -6 "V"
-3 69 53 -16 "V"
-1 70 61 -9 "H"
-1.5 80 83 3 "H"
8 59 66 7 "V"
2.5 61 73 12 "V"
-3 72 73 1 "V"
-2.5 61 81 20 "H"
-5 74 83 9 "H"
-3 88 75 -13 "H"
21.5 61 73 12 "V"
7 59 55 -4 "N"
7.5 51 67 16 "V"
-3.5 54 52 -2 "N"
3.5 65 82 17 "H"
5 66 64 -2 "H"
16 66 78 12 "V"
10 80 77 -3 "V"
-5 92 80 -12 "H"
5.5 75 89 14 "N"
-7 62 45 -17 "N"
26.5 73 88 15 "V"
-2.5 73 67 -6 "H"
7.5 72 76 4 "V1"
-1 52 58 6 "V"
-5.5 71 57 -14 "H"
-8.5 61 74 13 "H"
1 59 76 17 "H"
7 73 91 18 "V"
-3.5 61 70 9 "H"
18.5 56 68 12 "V"
10.5 72 87 15 "V"
10 63 82 19 "H"
1 64 73 9 "H"
9 75 86 11 "V"
4 90 95 5 "V"
1 69 50 -19 "V"
-3 61 59 -2 "H"
10.5 68 71 3 "V"
8 72 74 2 "V1"
-12 66 53 -13 "H"
-7 73 64 -9 "N"
-1.5 72 58 -14 "N"
-4 67 59 -8 "N"
-6 76 64 -12 "H"
8.5 73 69 -4 "V"
-16 78 66 -12 "H"
7.5 46 77 31 "V"
-1 76 79 3 "HN"
-1 74 65 -9 "H"
-3 58 50 -8 "V"
-13 74 68 -6 "H"
2.5 61 81 20 "V"
-4 63 57 -6 "H"
3 54 82 28 "V"
-1.5 66 65 -1 "H"
9.5 88 89 1 "V"
8 61 68 7 "H"
12 71 67 -4 "V"
11.5 58 76 18 "V"
1.5 51 71 20 "H"
-1 67 88 21 "H"
5.5 83 104 21 "V"
-3 89 87 -2 "V1"
2 52 40 -12 "H"
5 68 63 -5 "N"
12 55 72 17 "N"
9 66 75 9 "V"
-27 80 57 -23 "H"
-4.5 78 70 -8 "N"
-4.5 77 66 -11 "N"
-7 58 56 -2 "H"
-21 87 53 -34 "H"
-12.5 72 56 -16 "VN"
-9 60 45 -15 "N"
-18 68 58 -10 "H"
-6 54 55 1 "H"
6 70 61 -9 "V"
-13.5 52 53 1 "H"
-4.5 60 66 6 "H"
-5 68 58 -10 "V"
-7 75 70 -5 "V"
-7.5 71 69 -2 "H1"
8 55 57 2 "V"
